numero_catastro,propietario,ci,direccion,zona,distrito,manzano,lote,superficie_terreno,area_construida,uso_suelo,matricula_ddrr,valor_catastral,impuesto_anual,latitud,longitud
12-11-709-3823-000,Tamara Elorza Palomo,9993212 CBBA,Av. Circunvalación N° 3145,LA TEMIBLE CARA CARA,9,72,5,867,759,Comercial,3.01.1.44.9328647,1588344,2382.52,-17.398142,-66.170093
08-10-273-2700-000,Nuria Segovia Álamo,9373114 CBBA,Av. Circunvalación N° 256,TUPURAYA,5,978,23,615,76,Educativo,3.01.1.43.4575827,794580,1191.87,-17.435397,-66.189443
08-15-871-7643-000,Consuela Morata Luna,8765850 CBBA,Av. Circunvalación N° 1133,VALLE HERMOSO,2,531,25,457,242,Salud,3.01.1.23.1675275,535147,802.72,-17.400307,-66.168069
10-15-874-2549-000,Marcio Prado Jove,9042179 CBBA,Av. Beijing N° 2381,TUPURAYA,13,801,30,668,156,Mixto,3.01.1.35.6140831,1569132,2353.7,-17.459462,-66.102137
10-20-279-9550-000,Elba Ponce Tomás,6694311 CBBA,Av. Melchor Pérez N° 3141,ALALAY SUD,10,641,3,534,389,Comercial,3.01.1.62.7750927,863478,1295.22,-17.371139,-66.135909
06-14-327-0194-000,Jeremías Estrada Iglesia,8631919 CBBA,Av. América N° 948,LA MAICA,6,543,22,549,157,Comercial,3.01.1.67.3389132,1214388,1821.58,-17.383661,-66.177762
10-10-239-0402-000,Roberto Melchor Lucas Zamora,7481058 CBBA,Av. América N° 1790,NORESTE,10,525,17,483,346,Residencial,3.01.1.97.6809144,379155,568.73,-17.412924,-66.181202
13-01-585-1794-000,Ramona del Soriano,8471659 CBBA,Av. Villazón N° 4759,VALLE HERMOSO,5,920,3,466,349,Residencial,3.01.1.25.5881915,553608,830.41,-17.426226,-66.154097
07-10-055-0495-000,Georgina Cisneros Barón,3615103 CBBA,Av. Blanco Galindo N° 1123,CONDEBAMBA,9,482,39,1121,236,Mixto,3.01.1.40.9221275,1067192,1600.79,-17.399296,-66.196974
08-20-269-8709-000,Amarilis Oliver Segarra,3673034 CBBA,Av. Beijing N° 2846,CALA CALA,15,478,24,252,168,Salud,3.01.1.96.2067853,208908,313.36,-17.442974,-66.154311
06-10-449-4509-000,Florentina Badía Cazorla,8324206 CBBA,Av. Blanco Galindo N° 3408,NOROESTE,11,37,41,385,382,Industrial,3.01.1.10.4458010,385770,578.65,-17.440751,-66.175979
01-20-665-5593-000,José Cerdán Bonilla,9734674 CBBA,Av. Villazón N° 4597,ALALAY SUD,3,945,36,741,121,Residencial,3.01.1.79.8694112,1475331,2213.0,-17.412287,-66.183578
05-14-946-5532-000,Jordán Bernardino Jimenez Alcázar,3750053 CBBA,Av. Beijing N° 2271,PUKARA GRANDE SUR,8,273,40,471,429,Mixto,3.01.1.87.6041508,920334,1380.5,-17.382045,-66.203187
02-04-141-7199-000,Bonifacio Larrea Escrivá,7774408 CBBA,Av. América N° 1297,LACMA,2,985,10,932,568,Educativo,3.01.1.68.5556255,2037352,3056.03,-17.439407,-66.172845
10-18-904-7507-000,Ruperto Cuevas Izaguirre,1132105 CBBA,Av. América N° 2314,SUDESTE,13,139,49,295,242,Educativo,3.01.1.18.3869826,216530,324.8,-17.455994,-66.126218
12-08-802-4243-000,Aitana Godoy Villalonga,3476864 CBBA,Av. Melchor Pérez N° 178,COÑA COÑA,6,860,47,1143,64,Salud,3.01.1.74.6498140,2563749,3845.62,-17.410352,-66.203923
02-03-231-2601-000,Leocadia Guillen Pujol,9548660 CBBA,Av. Circunvalación N° 2793,ALALAY NORTE,3,923,7,766,315,Comercial,3.01.1.54.1710411,639610,959.41,-17.378085,-66.181691
01-01-426-3912-000,Ariel Llano,5644200 CBBA,Av. Beijing N° 4631,SUDESTE,2,411,22,429,267,Comercial,3.01.1.12.1442880,556842,835.26,-17.420274,-66.190393
14-02-171-9191-000,Jose Luis Sanmiguel Aramburu,2474420 CBBA,Av. Blanco Galindo N° 4513,LA CHIMBA,4,639,48,940,316,Residencial,3.01.1.34.3258210,1450420,2175.63,-17.398313,-66.200114
03-13-285-0550-000,Joaquina Petrona Beltran Tur,3884686 CBBA,Av. Villazón N° 1290,VILLA BUSCH,8,250,42,1014,786,Industrial,3.01.1.18.7837952,1944852,2917.28,-17.384776,-66.180464
08-04-582-8293-000,Eladio Fortuny Jerez,7839013 CBBA,Av. América N° 2549,TAMBORADA PUKARITA,6,814,15,206,128,Residencial,3.01.1.36.1544010,439604,659.41,-17.433226,-66.150222
03-10-011-6072-000,Ildefonso Abad-Carretero,6774867 CBBA,Av. Beijing N° 1115,SUDOESTE,2,348,28,565,304,Comercial,3.01.1.34.3193055,427140,640.71,-17.417207,-66.15615
09-12-813-5455-000,Gerónimo Planas Téllez,5659143 CBBA,Av. Beijing N° 2666,HIPODROMO,1,51,43,457,433,Mixto,3.01.1.62.3261885,429580,644.37,-17.380205,-66.16502
06-16-684-2113-000,Bernardita Mercader Zapata,3131525 CBBA,Av. Blanco Galindo N° 1371,LA CHIMBA,10,467,23,446,416,Salud,3.01.1.60.2589225,1107864,1661.8,-17.356486,-66.148007
08-17-492-3490-000,Saturnina Caparrós Sarmiento,6224015 CBBA,Av. América N° 483,VALLE HERMOSO,14,225,26,1198,459,Educativo,3.01.1.62.2087075,1159664,1739.5,-17.44394,-66.128388
08-08-091-5143-000,Guiomar Arenas Trillo,6067104 CBBA,Av. América N° 4803,QUERU QUERU ALTO,4,126,6,839,525,Educativo,3.01.1.38.4222707,954782,1432.17,-17.393388,-66.137231
06-02-578-3561-000,Lupe Villa Guardia,1080308 CBBA,Av. Melchor Pérez N° 2163,LA MAICA,1,246,12,710,463,Industrial,3.01.1.15.2946431,1300720,1951.08,-17.452947,-66.11657
02-08-259-1242-000,Rosalinda Rivera Benito,8981495 CBBA,Av. América N° 4022,NOROESTE,12,624,49,964,961,Residencial,3.01.1.71.2811698,2180568,3270.85,-17.455084,-66.116651
10-03-615-8162-000,María Pilar de Parra,6086259 CBBA,Av. América N° 1974,TUPURAYA,11,614,18,498,439,Mixto,3.01.1.84.6871946,851082,1276.62,-17.427505,-66.147727
12-01-896-1710-000,Joan Arrieta España,9898218 CBBA,Av. América N° 4879,MUYURINA,10,631,38,935,313,Residencial,3.01.1.85.9422908,1258510,1887.77,-17.421148,-66.119686
07-09-325-1293-000,Juan Lucas Fernández,3301445 CBBA,Av. América N° 3832,CONDEBAMBA,4,560,21,887,601,Industrial,3.01.1.84.2728547,1539832,2309.75,-17.43649,-66.176871
06-17-700-7718-000,África Soriano Leiva,8472714 CBBA,Av. Circunvalación N° 2071,KHARA KHARA ARRUMANI,10,193,42,337,74,Residencial,3.01.1.58.8744001,237922,356.88,-17.374768,-66.139343
07-17-227-6561-000,Fabiana Patricia Montes Iglesia,4561361 CBBA,Av. Circunvalación N° 526,NOROESTE,5,601,17,413,188,Comercial,3.01.1.73.6807743,493122,739.68,-17.384864,-66.153053
03-16-613-7006-000,Nico Rojas Ricart,1946302 CBBA,Av. Villazón N° 4166,PUKARA GRANDE SUR,4,480,25,283,55,Educativo,3.01.1.30.3594859,623166,934.75,-17.438375,-66.125761
14-16-173-7302-000,Alma Carrasco Arnau,2893520 CBBA,Av. Beijing N° 2852,SARCO,9,983,44,1171,333,Industrial,3.01.1.52.5809430,1367728,2051.59,-17.437237,-66.140157
02-10-222-5063-000,Edgardo Feijoo Miralles,8183759 CBBA,Av. Beijing N° 3072,LA MAICA,15,725,42,170,56,Mixto,3.01.1.94.2138637,238340,357.51,-17.369422,-66.185812
15-13-876-2048-000,Violeta Mur Tejada,4447406 CBBA,Av. Blanco Galindo N° 4481,LAS CUADRAS,7,314,6,398,341,Mixto,3.01.1.53.9477009,627248,940.87,-17.425243,-66.124879
15-03-086-3556-000,Nereida Batlle Tapia,5565549 CBBA,Av. Circunvalación N° 4648,VILLA BUSCH,3,606,14,411,268,Mixto,3.01.1.64.6910815,272493,408.74,-17.373204,-66.139923
09-04-858-2454-000,Saturnina Barroso Ramón,8769302 CBBA,Av. América N° 1853,SARCO,12,987,5,499,286,Residencial,3.01.1.30.8121900,1233528,1850.29,-17.427848,-66.169484
08-09-388-3308-000,Rodolfo Barberá Abril,5693221 CBBA,Av. Villazón N° 1194,SUDOESTE,13,856,4,1060,218,Residencial,3.01.1.27.6988602,1046220,1569.33,-17.36642,-66.145084
15-08-362-4109-000,Cloe Ferreras Abellán,8060842 CBBA,Av. Beijing N° 3386,VILLA BUSCH,15,392,14,931,770,Salud,3.01.1.37.7577212,2034235,3051.35,-17.436175,-66.121843
10-06-866-8436-000,Adán Amaya,2673351 CBBA,Av. Melchor Pérez N° 2533,USPHA USPHA,6,690,24,402,170,Industrial,3.01.1.26.4579516,461094,691.64,-17.444443,-66.138416
02-06-612-0455-000,Iker Bosch Niño,8863544 CBBA,Av. América N° 4534,PUKARA GRANDE NORTE,9,809,36,500,183,Educativo,3.01.1.93.2767178,1235500,1853.25,-17.355372,-66.152909
12-05-359-9483-000,Joan Mendizábal,9439203 CBBA,Av. América N° 3017,MESADILLA,8,660,28,1024,119,Comercial,3.01.1.77.1624813,941056,1411.58,-17.442652,-66.129691
04-03-328-3663-000,Adelardo Arrieta-Perelló,5017408 CBBA,Av. Beijing N° 2002,PUKARA GRANDE NORTE,2,523,7,1010,803,Educativo,3.01.1.26.5507128,1900820,2851.23,-17.381723,-66.175399
06-11-470-5749-000,Leticia Leon Pina,3233735 CBBA,Av. Circunvalación N° 290,COÑA COÑA,10,211,37,917,458,Residencial,3.01.1.82.3962714,2013732,3020.6,-17.434808,-66.138287
02-06-823-6777-000,Antonia Azeneth Ojeda Barreda,7317703 CBBA,Av. Villazón N° 3476,LA MAICA,11,64,11,516,439,Educativo,3.01.1.67.1467537,314244,471.37,-17.386039,-66.202199
15-05-211-0045-000,Custodia Carmen Rocamora Galán,7025351 CBBA,Av. Villazón N° 552,MESADILLA,10,812,4,1191,218,Salud,3.01.1.80.1299329,1592367,2388.55,-17.46023,-66.156199
07-15-358-0424-000,Manu Aliaga Ariza,2823227 CBBA,Av. Melchor Pérez N° 3678,QUERU QUERU ALTO,13,954,47,514,136,Residencial,3.01.1.18.8298655,1162154,1743.23,-17.393487,-66.173959
03-09-300-8718-000,Beatriz Viñas Carballo,3772935 CBBA,Av. Circunvalación N° 3778,JAIHUAYCO,4,123,31,787,445,Residencial,3.01.1.81.4115822,970371,1455.56,-17.362251,-66.185662
12-09-588-0989-000,César Guitart-Alcalá,2937033 CBBA,Av. América N° 2568,TAMBORADA PUKARITA,3,309,35,903,57,Mixto,3.01.1.93.7087109,1050189,1575.28,-17.379246,-66.192038
08-09-770-5783-000,Federico Escobar Portillo,3168171 CBBA,Av. Circunvalación N° 2376,VALLE HERMOSO OESTE,4,233,7,574,506,Educativo,3.01.1.89.9864809,862148,1293.22,-17.397268,-66.190553
02-13-284-9672-000,Matías Tomé Diez,7606936 CBBA,Av. América N° 2449,PUKARA GRANDE NORTE,6,651,30,1041,527,Educativo,3.01.1.20.3943063,1087845,1631.77,-17.34808,-66.168848
01-12-499-3482-000,Bibiana Zurita Reguera,5597273 CBBA,Av. Villazón N° 4696,TICTI,1,478,13,932,564,Salud,3.01.1.69.1139858,1890096,2835.14,-17.441555,-66.154092
10-06-857-3515-000,Nerea Calvet-Verdugo,8001959 CBBA,Av. Blanco Galindo N° 4336,VALLE HERMOSO OESTE,11,912,22,389,56,Residencial,3.01.1.55.3644566,251683,377.52,-17.463934,-66.131581
06-18-377-1165-000,Agustina Goicoechea Moll,3600138 CBBA,Av. Villazón N° 2698,LA TEMIBLE CARA CARA,13,292,27,470,93,Educativo,3.01.1.11.2654278,819680,1229.52,-17.369562,-66.169889
09-09-876-1431-000,Manu Fonseca Murcia,8915377 CBBA,Av. Circunvalación N° 3998,MUYURINA,4,184,29,993,447,Salud,3.01.1.83.8816269,1185642,1778.46,-17.432594,-66.173081
02-15-860-9922-000,Óscar Moles Herrero,5051227 CBBA,Av. Beijing N° 2766,TAMBORADA PUKARITA,9,323,34,174,136,Educativo,3.01.1.87.9700189,198534,297.8,-17.396612,-66.168878
01-08-882-8510-000,Maximiano Redondo-Salcedo,3105103 CBBA,Av. Circunvalación N° 4643,ALALAY SUD,6,794,23,424,284,Educativo,3.01.1.88.3886600,477848,716.77,-17.386991,-66.206832
11-05-625-0010-000,Leopoldo Portillo Almansa,5564747 CBBA,Av. Beijing N° 1633,MUYURINA,2,168,15,336,204,Industrial,3.01.1.37.1690361,483840,725.76,-17.374979,-66.157541
02-15-179-4691-000,América Barrios Castañeda,4694603 CBBA,Av. Melchor Pérez N° 2170,1° DE MAYO,13,182,18,1141,805,Comercial,3.01.1.98.8345038,2430330,3645.49,-17.465235,-66.133493
10-10-542-8752-000,Guillermo Casas Castelló,8311030 CBBA,Av. Blanco Galindo N° 1427,VALLE HERMOSO,8,85,13,963,920,Educativo,3.01.1.50.8579923,1719918,2579.88,-17.423177,-66.146406
14-10-081-9697-000,Eleuterio Tovar Valle,3698772 CBBA,Av. Beijing N° 2510,SUDOESTE,12,354,11,1057,1001,Comercial,3.01.1.61.7129135,1021062,1531.59,-17.354218,-66.174879
09-05-296-4797-000,Albina Morata Huertas,4667125 CBBA,Av. Beijing N° 1802,USPHA USPHA,8,146,5,756,708,Mixto,3.01.1.31.1063069,554148,831.22,-17.418727,-66.18943
14-17-965-5149-000,Timoteo Tejedor Tamayo,3607368 CBBA,Av. Melchor Pérez N° 4915,NORESTE,11,372,42,491,420,Salud,3.01.1.32.6300482,678071,1017.11,-17.393,-66.162967
07-09-620-9703-000,Bienvenida Heredia Arroyo,6329974 CBBA,Av. América N° 1122,LA TEMIBLE CARA CARA,1,827,12,770,432,Industrial,3.01.1.17.8611913,1672440,2508.66,-17.400848,-66.193796
02-12-293-4076-000,Damián Maximiliano Chaves Losada,8639431 CBBA,Av. Blanco Galindo N° 354,1° DE MAYO,7,988,26,851,333,Mixto,3.01.1.60.3351769,519961,779.94,-17.367241,-66.160828
01-17-336-3282-000,Amor Artigas,3286045 CBBA,Av. Blanco Galindo N° 3855,MUYURINA,6,867,36,172,127,Educativo,3.01.1.99.6054433,207604,311.41,-17.431718,-66.140386
13-09-782-5913-000,Amarilis Crespi Cid,8377599 CBBA,Av. Circunvalación N° 2828,ALALAY NORTE,15,815,32,291,278,Mixto,3.01.1.82.1760562,414093,621.14,-17.439812,-66.152959
04-18-425-5458-000,Luciana del Varela,3294067 CBBA,Av. Melchor Pérez N° 723,QUERU QUERU,4,563,3,410,347,Mixto,3.01.1.75.1234540,263220,394.83,-17.367738,-66.181312
12-18-668-5079-000,Luis Ángel Porcel-Amor,1566848 CBBA,Av. Villazón N° 2318,ARANJUEZ ALTO,8,271,40,591,490,Mixto,3.01.1.42.5631333,1291335,1937.0,-17.443507,-66.170797
13-02-679-1126-000,Sol Cárdenas Tejada,5941608 CBBA,Av. Blanco Galindo N° 4019,VALLE HERMOSO OESTE,15,58,23,1012,167,Residencial,3.01.1.10.9017055,1863092,2794.64,-17.447224,-66.156618
13-04-694-3564-000,Miriam Varela Figueroa,8115362 CBBA,Av. Blanco Galindo N° 539,VALLE HERMOSO OESTE,2,392,3,705,220,Comercial,3.01.1.90.1397144,1263360,1895.04,-17.394883,-66.167426
08-15-762-5178-000,Andrés Cantero-Morata,3865746 CBBA,Av. Beijing N° 4284,PUKARA GRANDE SUR,1,112,45,803,604,Educativo,3.01.1.60.5772909,1452627,2178.94,-17.419263,-66.171103
10-18-843-3066-000,Antonio Puente Cuevas,1897782 CBBA,Av. Circunvalación N° 1771,ARANJUEZ ALTO,9,63,27,389,219,Mixto,3.01.1.80.3427353,259074,388.61,-17.437359,-66.18017
12-12-648-3001-000,Lorenzo Bejarano-Alberto,1887661 CBBA,Av. Circunvalación N° 919,USPHA USPHA,8,18,31,703,428,Industrial,3.01.1.66.6839451,464683,697.02,-17.385891,-66.140547
08-10-568-0143-000,Balduino Blanch Lozano,2558890 CBBA,Av. Circunvalación N° 3034,PUKARA GRANDE OESTE,10,254,21,1034,196,Educativo,3.01.1.83.5708907,2164162,3246.24,-17.39948,-66.136736
15-06-374-4571-000,Nacio Tomas Vergara,2540310 CBBA,Av. Melchor Pérez N° 3157,PUKARA GRANDE SUR,15,223,16,591,87,Comercial,3.01.1.48.3225483,1166634,1749.95,-17.406492,-66.118502
09-11-798-0066-000,Valero Huguet Riera,4517367 CBBA,Av. Blanco Galindo N° 3661,COÑA COÑA,15,300,27,937,811,Residencial,3.01.1.70.5931253,1636939,2455.41,-17.378966,-66.192116
03-13-170-6721-000,Nacho Gabino Querol Delgado,6930757 CBBA,Av. Villazón N° 942,CONDEBAMBA,6,669,2,257,255,Mixto,3.01.1.47.4696571,346436,519.65,-17.410374,-66.170891
07-14-517-0205-000,Eric Doménech Jaén,3031294 CBBA,Av. Circunvalación N° 4009,CALA CALA,10,132,41,728,521,Industrial,3.01.1.69.4207128,521976,782.96,-17.37957,-66.129093
04-04-684-5679-000,Francisco de Arcos,4615892 CBBA,Av. Villazón N° 2092,SARCO,12,966,30,286,151,Residencial,3.01.1.75.6392313,493350,740.02,-17.401342,-66.174703
14-18-005-4867-000,Evita Remedios Castro Rosell,9723995 CBBA,Av. América N° 1230,TICTI,11,977,50,782,485,Comercial,3.01.1.48.8355036,867238,1300.86,-17.382226,-66.13621
03-09-566-8154-000,Amarilis Carreras Isern,7752093 CBBA,Av. Blanco Galindo N° 4887,CHIQUICOLLO,13,313,33,669,610,Industrial,3.01.1.21.4219670,1066386,1599.58,-17.383804,-66.206117
15-07-011-0066-000,Asunción Valentina Iglesias Farré,4516434 CBBA,Av. Circunvalación N° 1870,TUPURAYA,2,130,35,1182,325,Salud,3.01.1.97.9497734,920778,1381.17,-17.364186,-66.164598
14-14-078-1795-000,Anastasia Hernandez Segovia,4221445 CBBA,Av. Melchor Pérez N° 3333,LACMA,10,755,12,240,119,Residencial,3.01.1.53.5329905,164880,247.32,-17.432585,-66.189044
08-07-768-6703-000,Julián Borrego-Bermejo,2963684 CBBA,Av. Melchor Pérez N° 2303,QUERU QUERU ALTO,8,287,12,840,789,Comercial,3.01.1.66.4029261,1322160,1983.24,-17.414436,-66.176718
03-17-072-8175-000,Xiomara de Goicoechea,3263408 CBBA,Av. América N° 4470,SARCO,5,647,17,823,391,Mixto,3.01.1.52.9891952,1315977,1973.97,-17.446627,-66.172517
02-08-626-2905-000,Sabas Ureña-Vall,7399687 CBBA,Av. Beijing N° 3746,ARANJUEZ ALTO,7,972,17,564,368,Comercial,3.01.1.39.3493838,1197372,1796.06,-17.342374,-66.173396
05-13-047-0293-000,Fortunato Novoa Cobos,7978035 CBBA,Av. Melchor Pérez N° 1163,TUPURAYA,9,88,22,590,395,Mixto,3.01.1.92.5520599,674960,1012.44,-17.419814,-66.150681
05-15-010-9487-000,Hernando Nevado Donoso,6982103 CBBA,Av. Blanco Galindo N° 3318,MESADILLA,3,39,9,921,735,Educativo,3.01.1.60.6156239,1026915,1540.37,-17.3912,-66.124196
11-07-108-6640-000,Ibán Solano Izquierdo,6018109 CBBA,Av. Villazón N° 4324,KHARA KHARA ARRUMANI,10,585,2,528,487,Residencial,3.01.1.63.1449262,1223376,1835.06,-17.428201,-66.15697
14-02-560-2215-000,Isidora María Luisa Amorós Ferrera,7918599 CBBA,Av. Villazón N° 4807,VALLE HERMOSO,14,643,2,1011,499,Comercial,3.01.1.11.6163688,1965384,2948.08,-17.421797,-66.144339
10-10-521-2482-000,Maximino Perez Espada,3922740 CBBA,Av. Beijing N° 4379,TAMBORADA PUKARITA,10,814,8,606,435,Residencial,3.01.1.14.6168065,640542,960.81,-17.41209,-66.187678
02-19-019-8031-000,Angélica Pou Cruz,6260820 CBBA,Av. Beijing N° 1985,MESADILLA,4,103,39,412,380,Residencial,3.01.1.75.7539887,260796,391.19,-17.43867,-66.168951
13-18-359-2335-000,Concepción Soriano,1982120 CBBA,Av. Melchor Pérez N° 2833,MAYORAZGO,4,580,10,597,244,Educativo,3.01.1.24.3877459,906246,1359.37,-17.377919,-66.157724
01-03-802-8692-000,Paulina Parejo Guitart,9279043 CBBA,Av. Circunvalación N° 405,SARCOBAMBA,13,90,9,676,568,Educativo,3.01.1.29.1378009,1556152,2334.23,-17.418403,-66.12615
01-19-990-1851-000,Epifanio Gil Palau,7697006 CBBA,Av. Blanco Galindo N° 2514,USPHA USPHA,2,872,50,950,270,Salud,3.01.1.88.2083265,2317050,3475.58,-17.441544,-66.143227
04-08-234-1842-000,Alonso Solana Sarabia,9836660 CBBA,Av. Villazón N° 3793,LA TEMIBLE CARA CARA,2,71,7,861,238,Industrial,3.01.1.37.4849415,2108589,3162.88,-17.379253,-66.18586
04-20-682-1740-000,Etelvina Valenciano Aguilera,1059261 CBBA,Av. América N° 3792,JAIHUAYCO,15,355,50,355,141,Comercial,3.01.1.22.1719854,856260,1284.39,-17.392935,-66.129335
02-05-104-1209-000,Leocadio Matas Olmo,7535521 CBBA,Av. Circunvalación N° 3042,NOROESTE,7,34,46,659,92,Residencial,3.01.1.69.8344277,728195,1092.29,-17.406492,-66.20053
01-04-172-7290-000,Adrián Mora Cuevas,9798284 CBBA,Av. Beijing N° 4625,ARANJUEZ ALTO,3,346,50,946,209,Industrial,3.01.1.58.9820006,1897676,2846.51,-17.34603,-66.174619
15-07-857-6993-000,Gisela Vall Bauzà,7368571 CBBA,Av. América N° 2992,COÑA COÑA,2,968,29,682,591,Salud,3.01.1.82.3261636,515592,773.39,-17.431469,-66.129736
12-19-019-6609-000,Toño Rafael Morata Sales,7280585 CBBA,Av. Beijing N° 2234,PUKARA GRANDE SUR,14,839,21,1137,110,Residencial,3.01.1.24.4667326,1306413,1959.62,-17.397379,-66.177815
13-18-262-8289-000,Anunciación Lago,3017493 CBBA,Av. Circunvalación N° 1656,LA MAICA,6,641,9,1060,386,Industrial,3.01.1.80.6014466,1053640,1580.46,-17.362004,-66.148911
14-08-750-2068-000,Diego Mendez-Soto,6126839 CBBA,Av. Melchor Pérez N° 3934,LA CHIMBA,11,895,33,290,120,Mixto,3.01.1.73.7768715,473280,709.92,-17.366111,-66.136261
12-13-628-1513-000,Wilfredo Salmerón Ponce,8462874 CBBA,Av. Beijing N° 4379,CALA CALA,3,588,37,719,714,Mixto,3.01.1.82.2649424,1765864,2648.8,-17.385165,-66.129749
04-06-647-1686-000,Jose Miguel Carbó Bayo,1939687 CBBA,Av. América N° 136,CONDEBAMBA,15,693,3,632,169,Mixto,3.01.1.73.8756493,397528,596.29,-17.446023,-66.110252
03-02-062-4411-000,Emperatriz Albero Carrera,1237326 CBBA,Av. Villazón N° 2394,KHARA KHARA ARRUMANI,2,410,17,833,795,Educativo,3.01.1.70.4131074,1272824,1909.24,-17.459605,-66.132683
13-16-832-2869-000,Loreto Zurita Arribas,4288837 CBBA,Av. Beijing N° 2777,TICTI,10,418,10,1032,653,Salud,3.01.1.51.8848987,996912,1495.37,-17.380544,-66.197443
14-18-319-2974-000,Rosalía Quintero Valdés,4336042 CBBA,Av. Villazón N° 4067,1° DE MAYO,6,960,30,1095,608,Salud,3.01.1.31.3358788,1134420,1701.63,-17.375251,-66.15135
13-02-197-6368-000,Sancho Pagès Cobos,2849640 CBBA,Av. Blanco Galindo N° 3771,SUDOESTE,5,899,45,556,403,Salud,3.01.1.67.3687528,892380,1338.57,-17.450263,-66.105594
07-18-803-6370-000,Josefa Inés Cazorla Heras,2257681 CBBA,Av. Melchor Pérez N° 283,NORESTE,12,838,45,1132,589,Residencial,3.01.1.20.4908193,1463676,2195.51,-17.403569,-66.120851
08-08-915-4324-000,Elba Rico Hernando,9902735 CBBA,Av. Villazón N° 3660,SUDESTE,10,639,50,421,56,Comercial,3.01.1.84.6029423,902203,1353.3,-17.394695,-66.164091
11-01-514-0637-000,Estefanía Gallardo Lamas,6788982 CBBA,Av. Melchor Pérez N° 1679,TAMBORADA PUKARITA,12,31,39,237,111,Educativo,3.01.1.46.5393812,437502,656.25,-17.384681,-66.170722
03-15-465-6576-000,María Teresa Lasa Mesa,7153803 CBBA,Av. Beijing N° 3533,JAIHUAYCO,13,377,32,825,228,Residencial,3.01.1.77.9808679,1374450,2061.68,-17.410981,-66.133546
04-17-943-8272-000,Eloy Marin Ruiz,9979642 CBBA,Av. Blanco Galindo N° 1059,TEMPORAL PAMPA,9,353,16,158,125,Mixto,3.01.1.76.8217062,151680,227.52,-17.428722,-66.129448
10-15-354-4421-000,Amador Marcial Pou Pons,4810868 CBBA,Av. América N° 1413,PUKARA GRANDE SUR,7,122,47,1150,439,Educativo,3.01.1.94.5863718,2098750,3148.12,-17.364608,-66.148217
02-09-179-8063-000,Natalio Pombo Menendez,8693743 CBBA,Av. Beijing N° 1663,VALLE HERMOSO OESTE,12,593,15,567,93,Mixto,3.01.1.85.9997727,567000,850.5,-17.387893,-66.190715
10-04-838-7114-000,Alicia Correa Robles,5393658 CBBA,Av. Beijing N° 2393,SARCOBAMBA,2,364,27,1008,167,Industrial,3.01.1.14.9149282,1250928,1876.39,-17.347905,-66.162875
10-13-256-4097-000,Nico Aragón Escolano,9917666 CBBA,Av. Villazón N° 2870,COÑA COÑA,8,379,30,1184,792,Residencial,3.01.1.92.9241740,2182112,3273.17,-17.444118,-66.155775
13-19-259-2601-000,Loreto Tomás Castelló,8756270 CBBA,Av. Melchor Pérez N° 4025,MAYORAZGO,13,42,36,1189,524,Educativo,3.01.1.69.8173063,2725188,4087.78,-17.35834,-66.143427
04-15-575-8449-000,Pili Carreras Leal,3135264 CBBA,Av. Villazón N° 3383,CHIQUICOLLO,13,750,7,1023,294,Educativo,3.01.1.13.7806811,2176944,3265.42,-17.465018,-66.127558
03-09-484-1437-000,Flor Serrano-Mosquera,6084367 CBBA,Av. Circunvalación N° 1996,ARANJUEZ ALTO,4,462,25,275,167,Salud,3.01.1.49.5711217,409475,614.21,-17.405917,-66.143642
03-14-435-2738-000,Aarón Mulet Vigil,8802989 CBBA,Av. Melchor Pérez N° 4363,SUDESTE,3,434,30,266,139,Educativo,3.01.1.36.8835273,429856,644.78,-17.439375,-66.157658
01-06-783-8229-000,Teo Gómez Iglesia,1744528 CBBA,Av. Villazón N° 2193,MUYURINA,11,4,7,1057,672,Residencial,3.01.1.67.7269852,1419551,2129.33,-17.376364,-66.178759
09-03-065-9788-000,Gaspar Berenguer Carpio,7264360 CBBA,Av. América N° 438,LA TEMIBLE CARA CARA,7,657,7,1101,764,Residencial,3.01.1.70.7748650,2110617,3165.93,-17.406949,-66.204578
10-14-354-9253-000,Florencio Bernal Lobato,4972749 CBBA,Av. Beijing N° 1264,MESADILLA,9,935,28,631,560,Educativo,3.01.1.51.6968545,525623,788.43,-17.42612,-66.179046
11-02-275-0934-000,Ulises Nicolás,3245073 CBBA,Av. Beijing N° 3876,JAIHUAYCO,11,198,43,581,424,Mixto,3.01.1.81.8220925,1312479,1968.72,-17.400065,-66.189699
14-03-189-0586-000,Maricruz Diez Ortiz,1152804 CBBA,Av. Circunvalación N° 961,SUDOESTE,9,981,5,403,135,Educativo,3.01.1.31.2757115,907556,1361.33,-17.378119,-66.154455
05-17-461-9236-000,Victoriano Quero Aragonés,5183382 CBBA,Av. América N° 2075,CONDEBAMBA,13,299,7,1041,587,Residencial,3.01.1.55.1387898,750561,1125.84,-17.404338,-66.185815
12-01-281-0741-000,Marino Galván Baena,2984690 CBBA,Av. Circunvalación N° 3926,MAYORAZGO,5,123,34,702,103,Mixto,3.01.1.26.1953881,950508,1425.76,-17.401292,-66.212684
09-06-521-1837-000,Alexandra Lastra Aguirre,5916574 CBBA,Av. América N° 3164,MESADILLA,7,493,43,175,105,Comercial,3.01.1.71.8344078,140175,210.26,-17.427112,-66.19689
